,lineage,focal.ID,round,treatment,f0.mother,collection.date,sex,size.mm,log size,larvalsize.mm,adult.size.mm,age,gomp,loggomp,resid,var
149,14,9,1,l,d,4/04/2020,f,0.7388,-0.131473113,0.0932,0.739,25,0.715245391,-0.145544932,0.014071819,0.000198016
150,19,1,1,l,b,4/04/2020,f,0.8396,-0.07592757,0.1034,0.84,40,0.721604419,-0.141700816,0.065773246,0.00432612
151,2,1,1,l,a,5/04/2020,f,0.6293,-0.201142268,0.0955,0.629,37,0.72136985,-0.141842013,-0.059300255,0.00351652
152,2,5,1,l,e,5/04/2020,f,0.7054,-0.151564545,0.0783,0.705,32,0.720409015,-0.142420861,-0.009143684,8.3607E-05
153,9,18,1,l,g,5/04/2020,f,0.71335,-0.146697334,0.1235,0.713,35,0.721103374,-0.142002472,-0.004694862,2.20417E-05
154,8,10,1,l,d,5/04/2020,f,0.6497,-0.187287133,0.0984,0.65,35,0.721103374,-0.142002472,-0.045284661,0.0020507
155,8,11,1,l,d,5/04/2020,f,0.6807,-0.167044249,0.1111,0.681,26,0.716532212,-0.144764281,-0.022279968,0.000496397
156,20,23,1,l,g,5/04/2020,f,0.71665,-0.144692895,0.0979,0.717,33,0.720692078,-0.142250252,-0.002442643,5.96651E-06
157,6,1,1,h,a,5/04/2020,f,0.6904,-0.160899217,0.0956,0.69,31,0.698351794,-0.155925747,-0.00497347,2.47354E-05
158,13,11,1,h,b,5/04/2020,f,0.734,-0.13430394,0.0967,0.734,26,0.696827756,-0.156874559,0.022570619,0.000509433
159,12,23,1,h,k,6/04/2020,f,0.6813,-0.166661611,0.1061,0.681,34,0.698673575,-0.155725682,-0.010935929,0.000119595
160,20,30,1,l,n,6/04/2020,f,0.6221,-0.206139799,0.1096,0.622,29,0.719078484,-0.143223706,-0.062916093,0.003958435
161,14,18,1,l,j,6/04/2020,f,0.6878,-0.162537829,0.1088,0.688,30,0.719620748,-0.142896324,-0.019641505,0.000385789
162,19,11,1,l,g,6/04/2020,f,0.6796,-0.16774663,0.1066,0.6796,28,0.718405207,-0.143630529,-0.024116101,0.000581586
163,2,19,1,l,d,6/04/2020,f,0.6459,-0.189834715,0.0999,0.646,26,0.716532212,-0.144764281,-0.045070434,0.002031344
164,15,25,1,h,i,7/04/2020,f,0.5992,-0.222428195,0.125,0.599,31,0.698351794,-0.155925747,-0.066502448,0.004422576
165,6,15,1,h,g,8/04/2020,f,0.6458,-0.189901959,0.0956,0.646,27,0.697300679,-0.156579912,-0.033322047,0.001110359
166,8,17,1,l,f,8/04/2020,f,0.5702,-0.243972787,0.1019,0.57,23,0.711671403,-0.147720485,-0.096252302,0.009264506
167,19,17,2,l,i,4/05/2020,f,0.7608,-0.118729496,0.0985,0.761,71,0.721859476,-0.141547338,0.022817842,0.000520654
168,8,10,2,l,e,11/05/2020,f,0.6952,-0.157890237,0.0904,0.695,49,0.721823633,-0.141568903,-0.016321334,0.000266386
169,8,14,2,l,f,12/05/2020,f,0.8369,-0.077326432,0.0997,0.837,70,0.721859402,-0.141547382,0.06422095,0.00412433
170,17,2,2,h,a,3/05/2020,f,0.8293,-0.081288335,0.0936,0.829,54,0.698958078,-0.155548872,0.074260537,0.005514627
171,17,5,2,h,b,4/05/2020,f,0.6664,-0.176265012,0.094,0.666,43,0.698930074,-0.155566272,-0.02069874,0.000428438
172,17,6,2,h,b,4/05/2020,f,0.7175,-0.144178095,0.1012,0.718,49,0.69895334,-0.155551816,0.011373721,0.000129362
