lineage,focal.ID,round,cc2,f0 mother,collection.date,larvalsize.mm,juvenile.sizing.date,juvenile.size.mm,final.moult.date,first.clutch date,delta,days.to.adulthood,sex,adult.size.mm,no.adult.photo,size.at.death,death stage (l/j/a),death date,days.to.death,unpaired,up
8,1,1,8.1,a,27/03/2020,0.0952,30/03/2020,0.2521,,,,,m,0.519,,0.5192,a,20/04/2020,24,,
8,2,1,8.1,a,27/03/2020,0.0982,31/03/2020,0.3091,,,,,m,0.576,,0.5762,a,18/04/2020,22,,
8,3,1,8.1,a,27/03/2020,0.0992,30/03/2020,0.2741,,,,,m,0.523,,0.5227,a,18/04/2020,22,,
10,1,1,10.1,a,27/03/2020,0.0961,31/03/2020,0.2323,,,,,m,0.531,,0.5313,a,15/04/2020,19,,
10,2,1,10.1,a,27/03/2020,0.0996,31/03/2020,0.2666,,,,,f,0.636,,0.6363,a,22/04/2020,26,,
10,3,1,10.1,a,27/03/2020,0.0933,30/03/2020,0.2639,,,,,m,0.645,,0.6447,a,20/04/2020,24,,
10,4,1,10.1,b,28/03/2020,0.1215,31/03/2020,0.2657,,,,,f,0.626,,0.626,a,22/04/2020,25,,
10,5,1,10.1,b,28/03/2020,0.1214,31/03/2020,0.2712,,12/04/2020,,,f,0.712,,0.712,a,23/04/2020,26,,
10,6,1,10.1,b,28/03/2020,0.1185,31/03/2020,0.2714,,,,,m,0.432,,0.4319,a,16/04/2020,19,,
10,7,1,10.1,c,28/03/2020,0.0988,1/04/2020,0.2537,,,,,m,0.527,,0.5268,a,17/04/2020,20,,
10,8,1,10.1,c,28/03/2020,0.0927,1/04/2020,0.2775,,,,,m,,1,,a,20/04/2020,23,,
10,9,1,10.1,c,28/03/2020,0.1015,1/04/2020,0.2327,,,,,m,0.493,,0.4933,a,20/04/2020,23,,
9,1,1,9.1,a,28/03/2020,0.1024,31/03/2020,0.2593,,,,,m,,1,,a,19/04/2020,22,,
9,2,1,9.1,a,28/03/2020,0.0996,31/03/2020,0.2383,,,,,m,0.492,,0.4923,a,19/04/2020,22,,
9,3,1,9.1,a,28/03/2020,0.1017,1/04/2020,0.2515,,,,,m,0.52,,0.52,a,19/04/2020,22,,
10,10,1,10.1,e,29/03/2020,0.0953,1/04/2020,0.26,,,,,m,,1,,a,16/04/2020,18,,
10,11,1,10.1,e,29/03/2020,0.0994,1/04/2020,0.2607,,,,,m,0.53,,0.5304,a,15/04/2020,17,,
10,12,1,10.1,e,29/03/2020,0.0966,1/04/2020,0.2318,,,,,m,0.486,,0.4864,a,14/04/2020,16,,
10,13,1,10.1,f,29/03/2020,0.0877,,,,,,,m,0.511,,0.511,a,3/05/2020,35,,
10,14,1,10.1,f,29/03/2020,0.0741,,,,,,,m,0.511,,0.5111,a,5/05/2020,37,,
10,15,1,10.1,f,29/03/2020,0.0955,1/04/2020,0.2629,,,,,m,0.557,,0.557,a,19/04/2020,21,,
7,1,1,7.1,a,27/03/2020,0.0957,,,,,,,m,0.514,,0.5144,a,20/04/2020,24,,
7,2,1,7.1,a,27/03/2020,0.0952,1/04/2020,0.2508,,,,,m,0.644,,0.6436,a,15/04/2020,19,,
7,3,1,7.1,a,27/03/2020,0.0978,,,,,,,m,0.558,,0.5581,a,16/04/2020,20,,
7,4,1,7.1,a,27/03/2020,0.0936,,,,,,,m,,1,,a,,,,
20,1,1,20.1,a,29/03/2020,0.1024,1/04/2020,0.2422,,,,,m,0.52,,0.5196,a,20/04/2020,22,,
20,2,1,20.1,a,29/03/2020,0.0944,1/04/2020,0.2505,,,,,f,0.592,,0.5923,a,19/04/2020,21,,
20,3,1,20.1,a,29/03/2020,0.0985,1/04/2020,0.259,,,,,m,0.489,,0.4887,a,18/04/2020,20,,
20,4,1,20.1,b,29/03/2020,0.0754,,,,,,,,,,0.0864,l,1/04/2020,3,,
20,5,1,20.1,b,29/03/2020,0.0773,,,14/04/2020,,,16,m,0.388,,0.388,a,25/04/2020,27,,
20,6,1,20.1,b,29/03/2020,0.0783,,,,,,,m,0.467,,0.4672,a,17/04/2020,19,,
10,16,1,10.1,d,30/03/2020,0.129,,,12/04/2020,,,13,m,,1,,a,23/04/2020,24,,
10,17,1,10.1,d,30/03/2020,0.0963,,,,,,,,,,0.216,j,4/04/2020,5,,
10,18,1,10.1,d,30/03/2020,0.1313,,,,,,,m,0.48,,0.4804,a,27/04/2020,28,,
12,1,1,12.1,a,30/03/2020,0.0976,,,,,,,m,0.463,,0.4627,a,2/05/2020,33,,
12,2,1,12.1,a,30/03/2020,0.1007,,,,,,,m,0.479,,0.479,a,23/04/2020,24,,
12,3,1,12.1,a,30/03/2020,0.1009,,,13/04/2020,14/04/2020,1,14,f,0.764,,0.7636,a,1/05/2020,32,,
12,4,1,12.1,a,30/03/2020,0.0963,,,14/04/2020,,,15,f,0.597,,0.5965,a,22/04/2020,23,,
20,7,1,20.1,c,30/03/2020,0.0931,,,,,,,m,0.429,,0.4288,a,18/04/2020,19,,
20,8,1,20.1,c,30/03/2020,0.0942,,,,,,,m,0.508,,0.5082,a,15/04/2020,16,,
20,9,1,20.1,c,30/03/2020,0.094,,,,,,,m,,1,,a,24/04/2020,25,,
15,1,1,15.1,a,31/03/2020,0.0934,,,14/04/2020,15/04/2020,1,14,f,0.736,,0.7359,a,1/05/2020,31,,
15,2,1,15.1,a,31/03/2020,0.0993,,,,,,,m,0.578,,0.5777,a,30/04/2020,30,,
15,3,1,15.1,a,31/03/2020,0.0948,,,,,,,,,1,,,,,,
15,4,1,15.1,a,31/03/2020,0.0962,,,,,,,,,1,,,,,,
15,5,1,15.1,b,31/03/2020,0.1092,,,14/04/2020,6/05/2020,22,14,f,0.6816,,0.6816,a,8/05/2020,38,,
15,6,1,15.1,b,31/03/2020,0.0983,,,14/04/2020,15/04/2020,1,14,f,0.55,,0.5496,a,26/04/2020,26,,
15,7,1,15.1,b,31/03/2020,0.1087,,,,,,,m,0.485,,0.4845,a,27/04/2020,27,,
15,8,1,15.1,b,31/03/2020,0.1048,8/04/2020,0.2309,,,,,,,,,j,,,,
20,10,1,20.1,d,31/03/2020,0.0938,,,,14/04/2020,,,f,0.681,,0.6811,a,26/04/2020,26,,
20,11,1,20.1,d,31/03/2020,0.0987,,,,,,13,m,0.607,,0.6072,a,24/04/2020,24,,
20,12,1,20.1,d,31/03/2020,0.0927,,,,,,,m,0.538,,0.5384,a,7/05/2020,37,,
20,13,1,20.1,e,31/03/2020,0.0959,,,,,,,m,,1,,a,4/05/2020,34,,
20,14,1,20.1,e,31/03/2020,0.1078,,,,,,,,,1,,,,,,
20,15,1,20.1,e,31/03/2020,0.0998,,,,,,,,,1,,,,,,
18,1,1,18.1,c,31/03/2020,0.1055,,,,,,,m,0.693,,0.6933,a,1/05/2020,31,,
18,2,1,18.1,c,31/03/2020,0.1054,,,14/04/2020,15/04/2020,1,14,f,0.608,,0.6079,a,3/05/2020,33,,
18,3,1,18.1,c,31/03/2020,0.0892,,,,,,,,,,0.0333,l,1/04/2020,1,,
18,4,1,18.1,c,31/03/2020,0.0853,,,,,,,,,,0.0636,l,1/04/2020,1,,
15,9,1,15.1,c,1/04/2020,0.093,,,,,,,,,,0.0778,l,4/04/2020,3,,
15,10,1,15.1,c,1/04/2020,0.0987,,,,,,,m,0.42,,0.42,a,24/04/2020,23,,
15,11,1,15.1,c,1/04/2020,0.0975,,,,,,,m,0.591,,0.591,a,27/04/2020,26,,
15,12,1,15.1,c,1/04/2020,0.0967,,,,,,,,,,0.357,j,12/04/2020,11,,
20,16,1,20.1,f,1/04/2020,0.0978,,,,,,12,m,0.418,,0.4177,a,20/04/2020,19,,
20,17,1,20.1,f,1/04/2020,0.0945,,,,,,,m,0.377,,0.3773,a,27/04/2020,26,,
20,18,1,20.1,f,1/04/2020,0.0943,,,,,,,,,,0.3456,j,12/04/2020,11,,
7,5,1,7.1,b,1/04/2020,0.0951,,,,,,,m,,1,,a,12/04/2020,11,,
7,6,1,7.1,b,1/04/2020,0.094,,,,,,14,m,0.487,,0.4871,a,17/04/2020,16,,
7,7,1,7.1,b,1/04/2020,0.0999,,,,,,,m,0.319,,0.3186,a,14/04/2020,13,,
7,8,1,7.1,b,1/04/2020,0.0975,,,,,,,,,,0.3157,j,13/04/2020,12,,
11,1,1,11.1,a,1/04/2020,0.0901,,,14/04/2020,16/04/2020,2,13,f,0.651,,0.6509,a,30/04/2020,29,,
11,2,1,11.1,a,1/04/2020,0.0949,,,,,,,m,0.491,,0.4906,a,27/04/2020,26,,
11,3,1,11.1,a,1/04/2020,0.0928,,,,,,,m,0.514,,0.5143,a,27/04/2020,26,,
11,4,1,11.1,c,1/04/2020,0.1008,,,,,,,m,0.485,,0.4848,a,21/04/2020,20,,
11,5,1,11.1,c,1/04/2020,0.108,,,,,,12,m,0.494,,0.4937,a,2/05/2020,31,,
11,6,1,11.1,c,1/04/2020,0.0909,,,,,,11,m,,1,,a,21/04/2020,20,,
10,16b,1,10.1,g,1/04/2020,0.0979,,,,,,,m,0.541,,0.5411,a,20/04/2020,19,,
10,17b,1,10.1,g,1/04/2020,0.1016,,,,,,11,m,0.471,,0.4713,a,20/04/2020,19,,
10,18b,1,10.1,g,1/04/2020,0.1058,,,,,,,m,0.511,,0.5109,a,18/04/2020,17,,
18,5,1,18.1,a,1/04/2020,0.0942,,,,,,,m,0.482,,0.4818,a,25/04/2020,24,,
18,6,1,18.1,a,1/04/2020,0.0945,,,,,,,m,0.532,,0.2661,a,16/04/2020,15,,
18,7,1,18.1,a,1/04/2020,0.0967,,,,,,12,m,,1,,a,28/04/2020,27,,
18,8,1,18.1,a,1/04/2020,0.0952,,,,,,,m,,1,,a,30/04/2020,29,,
18,9,1,18.1,b,1/04/2020,0.0977,,,,,,13,m,0.504,,0.5037,a,20/04/2020,19,,
18,10,1,18.1,b,1/04/2020,0.0931,,,,,,,m,0.499,,0.4994,a,24/04/2020,23,,
18,11,1,18.1,b,1/04/2020,0.096,,,,,,11,m,,1,,a,23/04/2020,22,,
18,12,1,18.1,b,1/04/2020,0.0978,,,,,,,m,0.409,,0.4089,a,19/04/2020,18,,
14,1,1,14.1,a,1/04/2020,0.0944,,,,,,,m,0.522,,0.5215,a,21/04/2020,20,,
14,2,1,14.1,a,1/04/2020,0.1039,,,,,0,,f,0.636,,0.6355,a,21/04/2020,20,,
14,3,1,14.1,a,1/04/2020,0.0977,,,,,,,m,,1,,a,21/04/2020,20,,
14,4,1,14.1,a,1/04/2020,0.1036,,,,,,,m,0.656,,0.6561,a,,,,
12,5,1,12.1,b,1/04/2020,0.0924,,,12/04/2020,,,11,f,0.587,,0.5873,a,22/04/2020,21,,
12,6,1,12.1,b,1/04/2020,0.095,,,,,0,,f,0.641,,0.6406,a,18/04/2020,17,,
12,7,1,12.1,b,1/04/2020,0.0901,,,,,,,m,0.527,,0.5265,a,25/04/2020,24,,
12,8,1,12.1,b,1/04/2020,0.1014,,,,,,,m,0.45,,0.4499,a,30/04/2020,29,,
7,9,1,7.1,c,2/04/2020,0.0994,5/04/2020,0.3076,,,,12,m,0.45,,0.4496,a,29/04/2020,27,,
7,10,1,7.1,c,2/04/2020,0.097,4/04/2020,0.2428,,,,11,m,0.505,,0.5047,a,27/04/2020,25,,
7,11,1,7.1,c,2/04/2020,0.1001,4/04/2020,0.2557,,,,15,m,0.586,,0.5858,a,20/04/2020,18,,
7,12,1,7.1,c,2/04/2020,0.1014,4/04/2020,0.2498,,,,,m,0.485,,0.4852,a,4/05/2020,32,,
11,7,1,11.1,d,2/04/2020,0.094,5/04/2020,0.3154,15/04/2020,16/04/2020,1,13,f,0.703,,0.7033,a,2/05/2020,30,,
11,8,1,11.1,d,2/04/2020,,,,,,,,,,,0.2202,j,13/04/2020,11,,
11,9,1,11.1,d,2/04/2020,,,,14/04/2020,15/04/2020,1,12,f,0.724,,0.7241,a,1/05/2020,29,,
11,10,1,11.1,e,2/04/2020,0.0989,5/04/2020,0.2747,15/04/2020,20/04/2020,5,13,f,0.668,,0.6681,a,29/04/2020,27,27/4-29/4,1
11,11,1,11.1,e,2/04/2020,,,,15/04/2020,16/04/2020,1,13,f,0.708,,0.7084,a,2/05/2020,30,25/4-29/4,1
11,12,1,11.1,e,2/04/2020,,,,15/04/2020,16/04/2020,1,13,f,0.756,,0.7561,a,2/05/2020,30,,
11,13,1,11.1,f,2/04/2020,0.1037,,,,,,,,,,0.0965,l,7/04/2020,5,,
11,14,1,11.1,f,2/04/2020,,,,,,,,,,,0.0877,l,5/04/2020,3,,
11,15,1,11.1,f,2/04/2020,,,,,,,12,m,0.455,,0.4551,a,12/05/2020,40,,
11,16,1,11.1,g,3/04/2020,0.1041,5/04/2020,0.2614,14/04/2020,15/04/2020,1,11,f,0.672,,0.6718,a,6/05/2020,33,27/4-3/5,1
11,17,1,11.1,g,3/04/2020,,,,15/04/2020,17/04/2020,2,12,f,0.688,,0.688,a,8/05/2020,35,"14/4-18/4, 28/4-30/4",1
11,18,1,11.1,g,3/04/2020,,,,16/04/2020,,,13,f,0.756,,0.7555,a,6/05/2020,33,14/4-18/4 (or maybe a little longer),1
9,4,1,9.1,c,3/04/2020,0.0838,7/04/2020,0.2424,,,,,,,,0.2424,j,7/04/2020,4,,
9,5,1,9.1,c,3/04/2020,,,,,,,,,,,,,,,,
9,6,1,9.1,d,3/04/2020,0.0981,6/04/2020,0.2851,,,,10,m,0.515,,0.5146,a,13/04/2020,10,,
9,7,1,9.1,d,3/04/2020,,,,,,,,m,0.534,,0.5344,a,30/04/2020,27,,
12,9,1,12.1,d,3/04/2020,0.0914,6/04/2020,0.2549,,17/04/2020,,,f,0.601,,0.6009,a,3/05/2020,30,,
12,10,1,12.1,d,3/04/2020,0.0995,6/04/2020,0.252,,,,,m,0.468,,0.4679,a,10/05/2020,37,,
12,11,1,12.1,g,3/04/2020,0.0944,8/04/2020,0.2494,,19/04/2020,,,f,0.681,,0.6809,a,7/05/2020,34,,
12,12,1,12.1,g,3/04/2020,0.0773,,,,,,,,,,0.083,l,7/04/2020,4,,
10,19,1,10.1,h,3/04/2020,0.0917,6/04/2020,0.2487,,,,,m,0.405,,0.4048,a,27/04/2020,24,,
10,20,1,10.1,h,3/04/2020,0.0974,6/04/2020,0.2489,16/04/2020,17/04/2020,1,13,f,0.749,,0.749,a,29/04/2020,26,,
10,21,1,10.1,h,3/04/2020,0.0974,6/04/2020,0.2333,,,,,m,0.465,,0.4647,a,27/04/2020,24,,
10,22,1,10.1,h,3/04/2020,0.0973,6/04/2020,0.2465,16/04/2020,17/04/2020,1,13,f,0.804,,0.8035,a,30/04/2020,27,,
15,13,1,15.1,e,3/04/2020,0.0996,6/04/2020,0.2469,20/04/2020,,,17,f,0.604,,0.6036,a,4/05/2020,31,,
15,14,1,15.1,e,3/04/2020,0.1057,6/04/2020,0.26,15/04/2020,16/04/2020,1,12,f,0.635,,0.6352,a,4/05/2020,31,3/5-4/5,1
15,15,1,15.1,e,3/04/2020,0.1023,6/04/2020,0.2344,16/04/2020,16/04/2020,0,13,f,0.668,,0.668,a,2-May-20,29,"30/4-2/5. had '24/4' death date written down but clearly can't apply, might've been for its mate",1
16,1,1,16.1,a,3/04/2020,0.0996,6/04/2020,0.2685,,,,,m,0.506,,0.5056,a,1/06/2020,59,,
16,2,1,16.1,a,3/04/2020,0.0809,8/04/2020,0.2638,,,,16,m,0.622,,0.6216,a,1/06/2020,59,,
16,3,1,16.1,a,3/04/2020,,,,,,,,m,0.537,,0.5366,a,29/06/2020,87,,
16,4,1,16.1,a,3/04/2020,,,,,,,,m,0.522,,0.5217,a,16/05/2020,43,,
16,5,1,16.1,b,3/04/2020,0.0919,8/04/2020,0.2188,17/04/2020,20/04/2020,3,14,f,0.71,,0.71025,a,5/05/2020,32,,
16,6,1,16.1,b,3/04/2020,0.0976,6/04/2020,0.2345,,,,,m,0.61,,0.6096,a,14/04/2020,11,,
16,7,1,16.1,b,3/04/2020,,,,,,,,m,0.527,,0.5271,a,2/05/2020,29,,
16,8,1,16.1,b,3/04/2020,,,,17/04/2020,29/04/2020,12,14,f,0.641,,0.6413,a,7/05/2020,34,,
16,9,1,16.1,c,3/04/2020,0.1107,,,,,,,,,,0.0838,l,8/04/2020,5,,
16,10,1,16.1,c,3/04/2020,0.1017,6/04/2020,0.2626,,,,,m,0.602,,0.602,a,7/05/2020,34,,
16,11,1,16.1,c,3/04/2020,,,,,,,,m,0.504,,0.5043,a,10/06/2020,68,,
16,12,1,16.1,c,3/04/2020,,,,,,,,m,0.55,,0.5499,a,19/04/2020,16,,
18,13,1,18.1,d,3/04/2020,0.099,6/04/2020,0.2526,15/04/2020,17/04/2020,2,12,f,0.767,,0.7667,a,10/05/2020,37,,
18,14,1,18.1,d,3/04/2020,,7/04/2020,0.3052,16/04/2020,,,13,f,0.577,,0.5765,a,3/05/2020,30,,
18,15,1,18.1,i,3/04/2020,0.0939,7/04/2020,0.2383,17/04/2020,,,14,f,0.615,,0.6154,a,3/05/2020,30,28/4-3/5,1
18,16,1,18.1,i,3/04/2020,,7/04/2020,0.2287,,,,,m,0.568,,0.5682,a,29/04/2020,26,,
18,17,1,18.1,k,4/04/2020,0.1009,8/04/2020,0.2651,17/04/2020,,,13,f,,1,,a,7/05/2020,33,,
18,18,1,18.1,k,4/04/2020,,,,,,,,f,0.719,,0.7185,a,16/05/2020,42,,
18,19,1,18.1,l,4/04/2020,0.0968,8/04/2020,0.2352,,,,,m,0.492,,0.4922,a,3/05/2020,29,,
18,20,1,18.1,l,4/04/2020,,,,,,,,m,,1,,a,6/05/2020,32,,
18,21,1,18.1,e,4/04/2020,0.0959,,,,,,,,,,0.1029,l,7/04/2020,3,,
18,22,1,18.1,e,4/04/2020,,,,16/04/2020,25/04/2020,9,12,f,0.6567,,0.6567,a,16/05/2020,42,29/4-,1
18,23,1,18.1,f,4/04/2020,0.1002,7/04/2020,0.234,,,,,m,,1,,a,10/05/2020,36,,
18,24,1,18.1,f,4/04/2020,,,,,22/04/2020,,,f,0.607,,0.6068,a,8/05/2020,34,,
18,25,1,18.1,g,4/04/2020,0.098,8/04/2020,0.2614,,,,13,m,0.585,,0.5851,a,5/05/2020,31,,
18,26,1,18.1,g,4/04/2020,,,,,,,12,m,0.467,,0.467,a,25/04/2020,21,,
18,27,1,18.1,h,4/04/2020,0.0737,,,,,,,,,,0.0654,l,7/04/2020,3,,
18,28,1,18.1,h,4/04/2020,,,,17/04/2020,19/04/2020,2,13,f,0.772,,0.7724,a,10/05/2020,36,"28/4-3/5, 6/5-10/5",1
13,1,1,13.1,a,4/04/2020,0.1056,7/04/2020,0.2415,17/04/2020,19/04/2020,2,13,f,0.662,,0.6615,a,8/05/2020,34,,
13,2,1,13.1,a,4/04/2020,,,,,,,,m,0.554,,0.5539,a,28/04/2020,24,,
13,3,1,13.1,d,4/04/2020,0.1012,8/04/2020,0.2423,,,,,m,0.454,,0.454,a,12/05/2020,38,,
13,4,1,13.1,d,4/04/2020,,,,,,,,m,0.478,,0.4779,a,4/05/2020,30,,
13,5,1,13.1,e,4/04/2020,0.0985,8/04/2020,0.2336,,,,12,m,0.492,,0.4915,a,7/05/2020,33,,
13,6,1,13.1,e,4/04/2020,,,,,,,,m,0.482,,0.4823,a,27/04/2020,23,,
13,7,1,13.1,f,4/04/2020,0.0982,7/04/2020,0.2281,,,,13,m,0.51,,0.51,a,28/04/2020,24,,
13,8,1,13.1,f,4/04/2020,,,,19/04/2020,22/04/2020,3,15,f,0.563,,0.5634,a,28/04/2020,24,,
13,9,1,13.1,g,4/04/2020,0.0968,8/04/2020,0.2712,,,,,m,0.505,,0.5051,a,6/05/2020,32,,
13,10,1,13.1,g,4/04/2020,,,,,,,,m,0.481,,0.4814,a,16/05/2020,42,,
9,8,1,9.1,b,4/04/2020,0.073,10/04/2020,0.3008,,,,,m,0.552,,0.5523,a,5/05/2020,31,,
9,9,1,9.1,b,4/04/2020,,,,,,,15,m,,1,,a,1/05/2020,27,,
9,10,1,9.1,e,4/04/2020,0.0991,8/04/2020,0.2442,,,,,m,0.528,,0.528,a,8/05/2020,34,,
9,11,1,9.1,e,4/04/2020,,,,21/04/2020,,,17,f,0.697,,0.6972,a,4/05/2020,30,,
9,12,1,9.1,f,4/04/2020,0.0967,,,,,,,,,,0.0967,l,7/04/2020,3,,
9,13,1,9.1,f,4/04/2020,,,,17/04/2020,19/04/2020,2,13,f,0.697,,0.6968,a,10/05/2020,36,5/5-10/5,1
9,14,1,9.1,i,4/04/2020,0.0846,,,16/04/2020,19/04/2020,3,12,f,0.556,,0.5563,a,28/04/2020,24,,
9,15,1,9.1,i,4/04/2020,,,,,,,,m,,1,,a,27/04/2020,23,,
9,16,1,9.1,k,4/04/2020,0.0886,8/04/2020,0.2227,,,,,m,,1,,a,5/05/2020,31,,
9,17,1,9.1,k,4/04/2020,,,,,,,,m,0.553,,0.553,a,28/04/2020,24,,
8,4,1,8.1,b,4/04/2020,0.1009,8/04/2020,0.2606,,,,13,m,,1,,a,,,,
8,5,1,8.1,b,4/04/2020,0.113,7/04/2020,0.2384,,,,,m,0.538,,0.5381,a,21/04/2020,17,,
8,6,1,8.1,b,4/04/2020,0.1246,7/04/2020,0.2722,,,,10,m,0.494,,0.494,a,21/04/2020,17,,
8,7,1,8.1,c,4/04/2020,0.0927,8/04/2020,0.2344,,,,,m,0.453,1,0.453,a,29/04/2020,25,,
8,8,1,8.1,c,4/04/2020,0.0975,,,,,,,,,,0.0903,l,7/04/2020,3,,
8,9,1,8.1,c,4/04/2020,0.1082,9/04/2020,0.2272,,,,19,m,0.549,,0.5488,a,28/04/2020,24,,
12,13,1,12.1,e,4/04/2020,0.0889,,,,,,,,,,0.0605,l,7/04/2020,3,,
12,14,1,12.1,e,4/04/2020,,,,,,,18,m,0.572,,0.5724,a,1/05/2020,27,,
12,15,1,12.1,f,4/04/2020,0.0951,12/04/2020,0.2082,,,,,,,,0.158,l,11/04/2020,7,,
12,16,1,12.1,f,4/04/2020,,,,,,,,,,,0.0861,j,9/04/2020,5,,
12,17,1,12.1,h,4/04/2020,0.1015,8/04/2020,0.2509,17/04/2020,20/04/2020,3,13,f,0.66,,0.6595,a,10/05/2020,36,,
12,18,1,12.1,h,4/04/2020,,,,,,,,m,0.534,,0.5339,a,2/05/2020,28,,
15,16,1,15.1,f,4/04/2020,0.0918,,,,,,,,,,0.0916,l,7/04/2020,3,,
15,17,1,15.1,f,4/04/2020,,,,18/04/2020,20/04/2020,2,14,f,0.621,,0.6211,a,7/05/2020,33,"3/5-4/5, 6/5-7/5",1
15,18,1,15.1,g,4/04/2020,0.0977,,,,,,16,m,0.505,,0.505,a,6/05/2020,32,,
15,19,1,15.1,g,4/04/2020,,,,,,,,m,,1,,a,1/05/2020,27,,
15,20,1,15.1,h,4/04/2020,0.0803,,,,,,,,,,0.0657,l,7/04/2020,3,,
15,21,1,15.1,h,4/04/2020,,,,,,,,,,,0.27,j,12/04/2020,8,,
10,23,1,10.1,i,4/04/2020,0.0953,8/04/2020,0.2317,,,,,m,0.502,,0.5018,a,2/05/2020,28,,
10,24,1,10.1,i,4/04/2020,,,,,,,,m,0.51,,0.5096,a,5/05/2020,31,,
10,25,1,10.1,j,4/04/2020,0.0954,,,,,,,,,,0.0728,l,7/04/2020,3,,
10,26,1,10.1,j,4/04/2020,,,,,,,,,,,0.1626,l,16/04/2020,12,,
20,19,1,20.1,h,4/04/2020,0.0977,7/04/2020,0.2659,16/04/2020,19/04/2020,3,12,f,0.702,,0.7019,a,8/05/2020,34,,
20,20,1,20.1,h,4/04/2020,,,,16/04/2020,,,12,f,0.667,,0.6674,a,27/04/2020,23,,
20,21,1,20.1,i,4/04/2020,0.0994,8/04/2020,0.2387,,,,,m,,1,,a,,,,
20,22,1,20.1,i,4/04/2020,,,,17/04/2020,20/04/2020,3,13,f,0.687,,0.6872,a,26/04/2020,22,,
11,19,1,11.1,h,4/04/2020,0.0987,8/04/2020,0.2465,,,,,m,,1,,a,7/05/2020,33,,
11,20,1,11.1,h,4/04/2020,,,,17/04/2020,18/04/2020,1,13,f,0.683,,0.6828,a,7/05/2020,33,27/4-6/5,1
11,21,1,11.1,i,4/04/2020,0.0963,13/04/2020,0.228,,,,,,,,0.2312,j,14/04/2020,10,,
11,22,1,11.1,i,4/04/2020,,,,17/04/2020,19/04/2020,2,13,f,0.667,,0.6674,a,5/05/2020,31,1/5-2/5,1
11,23,1,11.1,j,4/04/2020,0.0997,8/04/2020,0.2295,17/04/2020,19/04/2020,2,13,f,0.674,,0.6739,a,8/05/2020,34,"28/4-29/4, 7/6-8/5",1
11,24,1,11.1,j,4/04/2020,,,,,,,,m,0.482,,0.4816,a,7/05/2020,33,,
11,25,1,11.1,k,4/04/2020,0.1039,8/04/2020,0.2747,,,,,m,0.522,,0.522,a,12/05/2020,38,,
11,26,1,11.1,k,4/04/2020,,,,18/04/2020,19/04/2020,1,14,f,0.65,,0.6499,a,10/05/2020,36,1/5-6/5,1
7,13,1,7.1,d,4/04/2020,0.0918,8/04/2020,0.2364,,,,,m,0.495,,0.4952,a,4/05/2020,30,,
7,14,1,7.1,d,4/04/2020,,,,17/04/2020,18/04/2020,1,13,f,0.643,,0.643,a,7/05/2020,33,5/5-7/5,1
7,15,1,7.1,e,4/04/2020,0.1012,,,,,,,,,,0.1268,l,10/04/2020,6,,
7,16,1,7.1,e,4/04/2020,,,,,,,,,,,0.0638,l,10/04/2020,6,,
16,13,1,16.1,d,4/04/2020,0.1001,8/04/2020,0.2463,17/04/2020,19/04/2020,2,13,f,0.644,,0.6435,a,7/05/2020,33,,
16,14,1,16.1,d,4/04/2020,,,,,,,,m,0.508,,0.5082,a,2/05/2020,28,,
16,15,1,16.1,e,4/04/2020,0.0973,,,,,,,,,,0.1156,l,7/04/2020,3,,
16,16,1,16.1,e,4/04/2020,,,,,,,,m,0.472,,0.4718,a,20/05/2020,46,,
16,17,1,16.1,f,4/04/2020,0.104,7/04/2020,0.2634,,,,,m,0.574,,0.5744,a,22/05/2020,48,,
16,18,1,16.1,f,4/04/2020,,,,17/04/2020,19/04/2020,2,13,f,0.641,,0.6413,a,10/05/2020,36,,
